가게,店
어울리다,似合う、仲良く付き合う
어저께,昨日
어제,きのう
어젯밤,昨夜
언니,（妹から見て）姉
언제,いつ
언제나,いつも、いつでも
얼굴,顔
얼마나,いくらほど、どのくらい
얼음,氷
엄마,ママ
없다,ない、いない
없이,～なしで
에어컨,エアコン、クーラー
엔,円
엘리베이터,エレベーター
여권,旅券、パスポート
여기,ここ
여기저기,あちこち
여덟,8
여동생,妹
여든,80
여러,多くの
여러가지,いろいろ
여러분,皆様
여름,夏
여보세요,もしもし
여섯,6
여자,女性
여학생,女子学生
여행,旅行
여행사,旅行社
역,駅
역사,歴史
연락처,連絡先
연세,お歳（「年齢」の尊敬語）
연습,練習
연습하다,練習する
연예인,芸能人
연필,鉛筆
연휴,連休
열,熱、10
열다,開く（あく）、開ける、（物事を）始める
열리다,開く（ひらく）、開かれる、（物事が）始まる
열쇠,鍵
열심히,熱心に、懸命に
열차,列車
엽서,はがき
영,ゼロ
영국,英国、イギリス
영상,映像
영어,英語
영어회화,英会話
영하,零下、氷点下
영화,映画
영화관,映画館
영화배우,映画俳優
영화표,映画のチケット
옆,横
예,はい
예문,例文
예쁘다,きれいだ
예순,60
예약,予約
옛날,昔
오,5
오늘,きょう
오다,来る
오래,長く、ずっと
오래간만,久しぶり
오래간만입니다,お久しぶりです
오랜만,久しぶり
오랜만에,久しぶりに
오랫동안,長い間
오렌지,オレンジ
오르다,上る、登る
오른쪽,右、右側
오리,あひる、鴨
오빠,（妹から見て）兄
오십,50
오월,５月
오이,きゅうり
오전,午前
오징어,いか（烏賊）
오후,午後
올라가다,上って行く
올라오다,上って来る
올려놓다,乗せる
올림픽,オリンピック
올해,今年
옮기다,移す、翻訳する
옷,服
옷가게,服屋、衣服店、洋服店
옷장,洋服だんす
와이셔츠,ワイシャツ
왜,なぜ、どうして
왜냐하면,なぜかというと、なぜならば
외국,外国
외국어,外国語
외국인,外国人
외롭다,（一人ぼっちで）さびしい、心細い
외삼촌,（母方の）おじ
외숙모,（母方の）おば
외출하다,外出する
외할머니,（母方の）祖母
외할아버지,（母方の）祖父
왼쪽,左、左側
요금,料金
요르단,ヨルダン
요리,料理
요일,曜日
요즘,この頃、近ごろ
우리,我々
우리나라,韓国、わが国
우산,雨傘、傘
우선,まず、最初に
우유,牛乳
우체국,郵便局
우표,切手
운동,運動
운동복,体操服、スポーツウェア
운동선수,スポーツ選手
운동장,運動場
운동하다,運動する、スポーツする
운동화,運動靴
운전하다,運転する
울다,（人が）泣く、（動物が）鳴く、（鐘などが）鳴る
울리다,泣かせる、鳴かせる、鳴らす
움직이다,動く
웃기다,笑わせる
웃다,笑う
원,ウォン（韓国の貨幣単位）
원피스,ワンピース
원하다,願う、望む
월,～（ヶ）月
월급,月給、給料
월드컵,ワールドカップ
월세,（月払いの）家賃、賃料
월요일,月曜日
웬일,何事、どうしたこと
위,上
위치,位置
위하다,（～のために）する
위험하다,危険だ
유럽,ヨーロッパ
유리,ガラス
유명하다,有名だ
유월,６月
유학,留学
유학생,留学生
유행,流行
육,6
육십,60
은행,銀行
은행원,銀行員
음료수,飲料水、清涼飲料水、ジュース
음반,音盤
음식,食べ物、料理
음악,音楽
음악가,音楽家
응,うん（返事）
의미,意味
의사,医者
의자,いす
이,歯、この、２
이거,これ
이것,これ
이곳,ここ
이따가,後で、後ほど
이런,こんな～
이렇게,こんなに、このように
이렇다,こうだ
이름,名前
이메일,ｅメール、電子メール
이모,（母方の）おば
이모부,（母方の）おじ
이번,今回、こんど
이분,この方
이사,引っ越し
이상,以上
이상하다,おかしい、変だ
이십,20
이야기,話、物語
이야기하다,話す
이용,利用
이용하다,利用する
이월,２月
이유,理由
이제,いまや、もう
이집트,エジプト
이쪽,こちら、この方
이틀,２日、２日間
이해,理解
이해하다,理解する
인,～人
인구,人口
인기,人気
인기스타,人気スター
인도,インド
인사,挨拶
인사하다,挨拶する
인삼,人参、高麗人参
인상,印象
인천,インチョン（仁川）
인터넷,インターネット
인터뷰하다,インタビューする
인형,人形
일,1、日
일곱,7
일기,日記
일기예보,天気予報
일본,日本
일본드라마,日本のドラマ
일본말,日本語
일본사람,日本人
일본어,日本語
일본요리,日本料理
일상생활,日常生活
일식,日本料理
일어나다,起きる、立つ、起こる
일어서다,立ち上がる
일요일,日曜日
일월,１月
일주일,１週間
일찍,（時間的に）はやく
일하다,働く
일흔,70
읽기,読むこと、読解
읽다,読む
잃다,失う
잃어버리다,失くしてしまう
입,口
입구,入り口
입다,着る
입원하다,入院する
입학,入学
있다,ある、いる
잊다,忘れる
잊어버리다,忘れる、忘れてしまう
자,さあ
자기,自己、自分
자다,寝る
자동차,自動車、車
자동차회사,自動車会社
자료,資料
자르다,切る
자리,座席、場所
자신,自身
자연,自然
자유,自由
자장면,ジャージャー麺
자전거,自転車
자주,たびたび、しょっちゅう
작년,昨年
작다,小さい
작은아버지,父の弟、おじ
작은어머니,父の弟の妻、おば
잔,～杯
잔치,パーティ、祝宴
잘,よく、上手に
잘못,間違って
잘생기다,ハンサムだ
잘하다,上手だ
잠,寝ること、睡眠
잠깐,しばらく、ちょっと
잠시,しばらく、ちょっと
잠자다,寝る、眠る
잡다,つかむ、握る
잡수시다,召し上がる
잡지,雑誌
장,～枚
장갑,手袋
장마,梅雨
장마철,梅雨時
장미,バラ
장소,場所
장점,長所
재료,材料
재미없다,面白くない
재미있다,面白い
재킷,ジャケット
저,あの
저거,あれ
저것,あれ
저곳,あそこ
저기,あそこ
저녁,夕方、夜、夕ご飯
저녁식사,夕食
저렇게,あのように
저분,あの方
저쪽,あちら、あの方
저희,私ども
적,的
적다,少ない、記す
전,全、前
전공,専攻
전기자동차,電気自動車
전자사전,電子辞書
전하다,伝える
전혀,まったく、全然
전화,電話
전화기,電話機
전화번호,電話番号
절,寺
절대,絶対
젊다,若い
점,点
점수,点数
점심,昼食、昼ごはん
점심시간,昼食時間
점심식사,昼食
점원,店員
점퍼,ジャンパー
젓가락,箸
정거장,停車場、駅
정도,程度
정류장,停留所、バス停
정리하다,整理する
정말,本当に
정문,正門
정보,情報
정하다,定める
제가,私が
제목,題名、タイトル
제일,いちばん、最も
제주도,済州島
조금,少し
조사하다,調査する
조선,朝鮮
조선말,朝鮮語
조선어,朝鮮語
조심하다,注意する
조용하다,静かだ
조용히,静かに
조카,甥（おい）
졸업,卒業
졸업하다,卒業する
좀,ちょっと、すこし
좀더,もう少し、もうちょっと
좁다,狭い
종로,鍾路
종류,種類
종업원,従業員
종이,紙
종일,終日、一日中
좋다,良い、好きだ
좋아하다,好む、好きだ
죄송하다,申し訳ない
주,週
주다,あげる、くれる
주로,主に
주말,週末
주머니,ポケット、小袋
주무시다,お休みになる
주문하다,注文する
주변,周辺、周り
주부,主婦
주사,注射
주소,住所
주스,ジュース
주위,周囲、周り
주인,主人、持ち主、マスター
주차장,駐車場
주차하다,駐車する
주황색,オレンジ色
